"nr_crt","autoritate_tutelara","intreprindere","cui","personal","calitate_membru","suma","indemnizatie_variabila","suma_num","indemnizatie_variabila_num"
"10","AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI","ARCADIA 2000","11369861","Serban Ionut","Membru CA/CS","2,359","28,308","2359","28308"
"10","AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI","ARCADIA 2000","11369861","Stanciu Tiberiu","Membru CA/CS","2,359","28,308","2359","28308"
"10","AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI","ARCADIA 2000","11369861","Petcu Sorin","Membru CA/CS","","","0","0"
"10","AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI","ARCADIA 2000","11369861","Petcu Sorin","Director/directorat","6,837","82,044","6837","82044"
"11","AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI","EUROTEST","360557","Topor Elena-Daniela","Membru CA/CS","2,769","33,228","2769","33228"
"11","AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI","EUROTEST","360557","Pana Traian","Membru CA/CS","2,769","33,228","2769","33228"
"11","AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI","EUROTEST","360557","Stanciu Tiberiu","Membru CA/CS","2,769","33,228","2769","33228"
"11","AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI","EUROTEST","360557","Ionescu Dumitru-Viorel","Director/directorat","18,700","224,400","18700","224400"
"12","AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI","RADIOACTIV MINERAL MAGURELE","16695222","Suta Ion","Membru CA/CS","5,128","61,536","5128","61536"
"12","AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI","RADIOACTIV MINERAL MAGURELE","16695222","Danda-Zavoian Camelia","Membru CA/CS","5,128","61,536","5128","61536"
