"",AUTORITATE PUBLICĂ TUTELARĂ (APT),NUME ÎNTREPRINDERE PUBLICĂ,CUI,"NUME PERSONALCONDUCERE","CALITATE (membru CA/CSdirector/membrudirectorat)","VALOARE INDEMNIZAȚIE FIXĂLUNARĂ CONFORM CONTRACT(Brut-Lei)*","VALOARE INDEMNIZAȚIE VARIABILAANUALĂ CONFORM CONTRACT(Brut-Lei)*"
1,"AGENTIA NATIONALA PENTRU PESCUIT SIACVACULTURA",PISCICOLA CALARASI,1923799,Chiriac Petronel,Membru CA/CS,"4,455",-
1,"AGENTIA NATIONALA PENTRU PESCUIT SIACVACULTURA",PISCICOLA CALARASI,1923799,Avramescu Roxana,Membru CA/CS,"4,050",-
1,"AGENTIA NATIONALA PENTRU PESCUIT SIACVACULTURA",PISCICOLA CALARASI,1923799,Ghita Daniel,Membru CA/CS,-,-
1,"AGENTIA NATIONALA PENTRU PESCUIT SIACVACULTURA",PISCICOLA CALARASI,1923799,Ghita Daniel,Director/directorat,"1 2,820",-
2,MINISTERUL SANATATII,ANTIBIOTICE,1973096,Ionut Sebastian Iavor,Membru CA/CS,"3 1,530",-
2,MINISTERUL SANATATII,ANTIBIOTICE,1973096,Laura Cristina Stanislav Bogdan,Membru CA/CS,"3 1,530",-
2,MINISTERUL SANATATII,ANTIBIOTICE,1973096,Corina Luminița Vulpeș,Membru CA/CS,"3 1,530",-
2,MINISTERUL SANATATII,ANTIBIOTICE,1973096,Andrei Tiberiu Novac,Membru CA/CS,"3 1,530",-
2,MINISTERUL SANATATII,ANTIBIOTICE,1973096,Catalin Lungu,Membru CA/CS,"3 1,530",-
2,MINISTERUL SANATATII,ANTIBIOTICE,1973096,Ioan Nani,Membru CA/CS,-,-
2,MINISTERUL SANATATII,ANTIBIOTICE,1973096,Ioan Nani,Director/directorat,"6 3,060",Nu a fost stabilită
2,MINISTERUL SANATATII,ANTIBIOTICE,1973096,Paula Luminita Coman,Director/directorat,"4 2,585","1 92,828"
2,MINISTERUL SANATATII,ANTIBIOTICE,1973096,Stefania Alexandru,Director/directorat,"43,035","1 94,880"
3,MINISTERUL SANATATII,CN UNIFARM,11653560,Danut Cristian Popa,Membru CA/CS,"1 0,301",-
3,MINISTERUL SANATATII,CN UNIFARM,11653560,Monica Patricia Amarie,Membru CA/CS,"1 0,301",-
3,MINISTERUL SANATATII,CN UNIFARM,11653560,Laurentiu Constantin Tudose,Membru CA/CS,"1 0,301",-
MINISTERUL SANATATII,CN UNIFARM,11653560,Catalin Lungu,Membru CA/CS,"1 0,301",-,
"",MINISTERUL SANATATII,CN UNIFARM,11653560,Zaharia Viorela,Membru CA/CS,"1 0,301",-
3,MINISTERUL SANATATII,CN UNIFARM,11653560,Alina Sanda Costea,Membru CA/CS,"1 0,301",-
3,MINISTERUL SANATATII,CN UNIFARM,11653560,Dobre Adrian Marius,Membru CA/CS,-,-
3,MINISTERUL SANATATII,CN UNIFARM,11653560,Dobre Adrian Marius,Director/directorat,"3 4,000","3 40,000"
4,CAMERA DEPUTATILOR,REGIA AUTONOMĂ MONITORUL OFICIAL,427282,Stan Dorina,Membru CA/CS,"1 5,716",-
4,CAMERA DEPUTATILOR,REGIA AUTONOMĂ MONITORUL OFICIAL,427282,Stăncescu Andreea,Membru CA/CS,"1 5,716",-
4,CAMERA DEPUTATILOR,REGIA AUTONOMĂ MONITORUL OFICIAL,427282,Răceu Ioan,Membru CA/CS,"1 5,716",-
4,CAMERA DEPUTATILOR,REGIA AUTONOMĂ MONITORUL OFICIAL,427282,Turtureanu Ana,Membru CA/CS,"1 5,716",-
4,CAMERA DEPUTATILOR,REGIA AUTONOMĂ MONITORUL OFICIAL,427282,Costescu Adriana,Membru CA/CS,"4 7,100",-
4,CAMERA DEPUTATILOR,REGIA AUTONOMĂ MONITORUL OFICIAL,427282,Costescu Adriana,Director/directorat,"4 7,100",-
5,"AUTORITATEA PENTRU ADMINISTRAREA ACTIVELORSTATULUI",SOCIETATEA DE STRATEGIE PENTRU PIAȚA DE GROS,8359779,Teleasa Ion-Adrian,Membru CA/CS,150,"1,800"
5,"AUTORITATEA PENTRU ADMINISTRAREA ACTIVELORSTATULUI",SOCIETATEA DE STRATEGIE PENTRU PIAȚA DE GROS,8359779,Iancu Lorena,Membru CA/CS,150,"1,800"
5,"AUTORITATEA PENTRU ADMINISTRAREA ACTIVELORSTATULUI",SOCIETATEA DE STRATEGIE PENTRU PIAȚA DE GROS,8359779,Druga Marian,Membru CA/CS,,
5,"AUTORITATEA PENTRU ADMINISTRAREA ACTIVELORSTATULUI",SOCIETATEA DE STRATEGIE PENTRU PIAȚA DE GROS,8359779,Druga Marian,Director/directorat,150,"1,800"
6,"AUTORITATEA PENTRU ADMINISTRAREA ACTIVELORSTATULUI",AGROMEC ICLOD,7638244,Insolventa/Diverse,Insolventa/Diverse,Insolventa/Diverse,litigiu
7,"AUTORITATEA PENTRU ADMINISTRAREA ACTIVELORSTATULUI",CRIZANTEMA COM,361358,Insolventa/Diverse,Insolventa/Diverse,Insolventa/Diverse,dizolvare
8,"AUTORITATEA PENTRU ADMINISTRAREA ACTIVELORSTATULUI",AGROMEC MOLDOVA NOUA,1074251,Insolventa/Diverse,Insolventa/Diverse,Insolventa/Diverse,nu mai aplica OUG109
9,"AUTORITATEA PENTRU ADMINISTRAREA ACTIVELORSTATULUI",ACTIVE CONEXE,31029694,Bruma Vasile,Membru CA/CS,"4,071","48,852"
"","AUTORITATEA PENTRU ADMINISTRAREA ACTIVELORSTATULUI",ACTIVE CONEXE,31029694,Dumitru Alin - Nicolae,Membru CA/CS,"4,071","48,852"
9,"AUTORITATEA PENTRU ADMINISTRAREA ACTIVELORSTATULUI",ACTIVE CONEXE,31029694,Ilie Mihai,Membru CA/CS,"4,071","48,852"
9,"AUTORITATEA PENTRU ADMINISTRAREA ACTIVELORSTATULUI",ACTIVE CONEXE,31029694,Vintilescu Daniela,Membru CA/CS,"4,071","48,852"
9,"AUTORITATEA PENTRU ADMINISTRAREA ACTIVELORSTATULUI",ACTIVE CONEXE,31029694,Bivol Daniel,Director/directorat,"17,093","205,116"
9,"AUTORITATEA PENTRU ADMINISTRAREA ACTIVELORSTATULUI",ACTIVE CONEXE,31029694,Karstensen Irina Elena,Director/directorat,"14,050","168,600"
10,"AUTORITATEA PENTRU ADMINISTRAREA ACTIVELORSTATULUI",ARCADIA 2000,11369861,Alexandrescu Florin-Cristian,Membru CA/CS,"2,359","28,308"
10,"AUTORITATEA PENTRU ADMINISTRAREA ACTIVELORSTATULUI",ARCADIA 2000,11369861,Bruma Vasile,Membru CA/CS,"2,359","28,308"
10,"AUTORITATEA PENTRU ADMINISTRAREA ACTIVELORSTATULUI",ARCADIA 2000,11369861,Serban Ionut,Membru CA/CS,"2,359","28,308"
10,"AUTORITATEA PENTRU ADMINISTRAREA ACTIVELORSTATULUI",ARCADIA 2000,11369861,Stanciu Tiberiu,Membru CA/CS,"2,359","28,308"
10,"AUTORITATEA PENTRU ADMINISTRAREA ACTIVELORSTATULUI",ARCADIA 2000,11369861,Petcu Sorin,Membru CA/CS,-,-
10,"AUTORITATEA PENTRU ADMINISTRAREA ACTIVELORSTATULUI",ARCADIA 2000,11369861,Petcu Sorin,Director/directorat,"6,837","82,044"
11,"AUTORITATEA PENTRU ADMINISTRAREA ACTIVELORSTATULUI",EUROTEST,360557,Topor Elena-Daniela,Membru CA/CS,"2,769","33,228"
11,"AUTORITATEA PENTRU ADMINISTRAREA ACTIVELORSTATULUI",EUROTEST,360557,Pana Traian,Membru CA/CS,"2,769","33,228"
11,"AUTORITATEA PENTRU ADMINISTRAREA ACTIVELORSTATULUI",EUROTEST,360557,Stanciu Tiberiu,Membru CA/CS,"2,769","33,228"
11,"AUTORITATEA PENTRU ADMINISTRAREA ACTIVELORSTATULUI",EUROTEST,360557,Ionescu Dumitru-Viorel,Director/directorat,"18,700","224,400"
12,"AUTORITATEA PENTRU ADMINISTRAREA ACTIVELORSTATULUI",RADIOACTIV MINERAL MAGURELE,16695222,Suta Ion,Membru CA/CS,"5,128","61,536"
12,"AUTORITATEA PENTRU ADMINISTRAREA ACTIVELORSTATULUI",RADIOACTIV MINERAL MAGURELE,16695222,Danda-Zavoian Camelia,Membru CA/CS,"5,128","61,536"
12,"AUTORITATEA PENTRU ADMINISTRAREA ACTIVELORSTATULUI",RADIOACTIV MINERAL MAGURELE,16695222,Popescu Adrian,Membru CA/CS,"5,128","61,536"
"",AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR,,,,,,,
12,,RADIOACTIV MINERAL MAGURELE,16695222,Cazacu Emilian,Director/directorat,"24,350",,"292,200"
"",STATULUI,,,,,,,
"",AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR,,,,,,,
13,,BLUE AIR TECHNIC,42790517,Marcut Adrian,Membru CA/CS,"5,128",,"61,536"
"",STATULUI,,,,,,,
"",AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR,,,,,,,
13,,BLUE AIR TECHNIC,42790517,Teleasa Ion-Adrian,Membru CA/CS,"5,128",,"61,536"
"",STATULUI,,,,,,,
"",AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR,,,,,,,
13,,BLUE AIR TECHNIC,42790517,Dumitru Dan-Viorel,Director/directorat,"3 0,718",,"368,616"
"",STATULUI,,,,,,,
"",AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR,,,,,,,
13,,BLUE AIR TECHNIC,42790517,Soltuz Luiza,Director/directorat,"2 8,462",,"341,544"
"",STATULUI,,,,,,,
"",AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR,,,,,,,
14,,COMALEX,1973568,Ilasi Sorin -Viorel,Membru CA/CS,"3,410",,"40,920"
"",STATULUI,,,,,,,
"",AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR,,,,,,,
14,,COMALEX,1973568,Ilie Mihai,Membru CA/CS,"3,410",,"40,920"
"",STATULUI,,,,,,,
"",AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR,,,,,,,
14,,COMALEX,1973568,Vijulie Cristinel,Membru CA/CS,"3,410",,"40,920"
"",STATULUI,,,,,,,
"",AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR,,,,,,,
14,,COMALEX,1973568,Baicu Remus -Constantin,Membru CA/CS,"3,410",,"40,920"
"",STATULUI,,,,,,,
"",AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR,,,,,,,
14,,COMALEX,1973568,Nicola Cosmin-Liviu,Membru CA/CS,"3,410",,"40,920"
"",STATULUI,,,,,,,
"",AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR,,,,,,,
14,,COMALEX,1973568,Georgescu Bogdan-Cristian,Membru CA/CS,"1 0,270",,"1 23,240"
"",STATULUI,,,,,,,
"",AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR,,,,,,,
15,,RECONS,1384767,Alexandrescu Florin-Cristian,Membru CA/CS,8 75,,"10,500"
"",STATULUI,,,,,,,
"",AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR,,,,,,,
15,,RECONS,1384767,Ceanga Elena-Cornelia,Membru CA/CS,875,,"10,500"
"",STATULUI,,,,,,,
"",AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR,,,,,,,
15,,RECONS,1384767,Lefter Victor,Director/directorat,"1,747",,"20,964"
"",STATULUI,,,,,,,
"",AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR,,,,,,,
16,,TRIMEC,1960487,Insolventa/Diverse,Insolventa/Diverse,Insolventa/Diverse,,litigiu
"",STATULUI,,,,,,,
"",,SOCIETATEA NATIONALA CASA ROMANA DE COMERT,,,,,,
