unnamed:_0,autoritate_tutelar,intreprindere,cui,personal,calitate,suma,indemnizatie_variabila,suma_num,indemnizatie_variabila_num
9,AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI,ACTIVE CONEXE,31029694,Karstensen Irina Elena,Director/directorat,"14,050","168,600",14050.0,168600.0
10,AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI,ARCADIA 2000,11369861,Alexandrescu Florin-Cristian,Membru CA/CS,"2,359","28,308",2359.0,28308.0
10,AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI,ARCADIA 2000,11369861,Bruma Vasile,Membru CA/CS,"2,359","28,308",2359.0,28308.0
10,AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI,ARCADIA 2000,11369861,Serban Ionut,Membru CA/CS,"2,359","28,308",2359.0,28308.0
10,AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI,ARCADIA 2000,11369861,Stanciu Tiberiu,Membru CA/CS,"2,359","28,308",2359.0,28308.0
10,AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI,ARCADIA 2000,11369861,Petcu Sorin,Membru CA/CS,,,0.0,0.0
10,AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI,ARCADIA 2000,11369861,Petcu Sorin,Director/directorat,"6,837","82,044",6837.0,82044.0
11,AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI,EUROTEST,360557,Topor Elena-Daniela,Membru CA/CS,"2,769","33,228",2769.0,33228.0
11,AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI,EUROTEST,360557,Pana Traian,Membru CA/CS,"2,769","33,228",2769.0,33228.0
11,AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI,EUROTEST,360557,Stanciu Tiberiu,Membru CA/CS,"2,769","33,228",2769.0,33228.0
11,AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI,EUROTEST,360557,Ionescu Dumitru-Viorel,Director/directorat,"18,700","224,400",18700.0,224400.0
12,AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI,RADIOACTIV MINERAL MAGURELE,16695222,Suta Ion,Membru CA/CS,"5,128","61,536",5128.0,61536.0
12,AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI,RADIOACTIV MINERAL MAGURELE,16695222,Danda-Zavoian Camelia,Membru CA/CS,"5,128","61,536",5128.0,61536.0
12,AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI,RADIOACTIV MINERAL MAGURELE,16695222,Popescu Adrian,Membru CA/CS,"5,128","61,536",5128.0,61536.0
,AGENTIA DOMENIILOR STATULUI,AGROPRODCOM ODORHEIU SECUIESC,524277,Kosa Imola,Membru CA/CS,300,,300.0,0.0
18,AGENTIA DOMENIILOR STATULUI,AGROPRODCOM ODORHEIU SECUIESC,524277,Nagy Eva,Membru CA/CS,3 00,,300.0,0.0
18,AGENTIA DOMENIILOR STATULUI,AGROPRODCOM ODORHEIU SECUIESC,524277,Bazon Daniel,Membru CA/CS,300,,300.0,0.0
19,AGENTIA DOMENIILOR STATULUI,AGROPRODCOM LĂZAREA,496401,Len Emil,Membru CA/CS,3 00,,300.0,0.0
19,AGENTIA DOMENIILOR STATULUI,AGROPRODCOM LĂZAREA,496401,Neculae Florin,Membru CA/CS,3 00,,300.0,0.0
20,MINISTERUL FINANTELOR,COMPANIA NAȚIONALĂ ”IMPRIMERIA NAȚIONALĂ”,2779625,Bomboe Carmen - Andreea,Membru CA/CS,"13,350",,13350.0,0.0
20,MINISTERUL FINANTELOR,COMPANIA NAȚIONALĂ ”IMPRIMERIA NAȚIONALĂ”,2779625,Coman Eduard -Valentin,Membru CA/CS,"13,350",,13350.0,0.0
20,MINISTERUL FINANTELOR,COMPANIA NAȚIONALĂ ”IMPRIMERIA NAȚIONALĂ”,2779625,Turcanu Daniela - Anca,Membru CA/CS,"13,350",,13350.0,0.0
20,MINISTERUL FINANTELOR,COMPANIA NAȚIONALĂ ”IMPRIMERIA NAȚIONALĂ”,2779625,Moraru Liviu-Alexandru,Membru CA/CS,"13,350",,13350.0,0.0
20,MINISTERUL FINANTELOR,COMPANIA NAȚIONALĂ ”IMPRIMERIA NAȚIONALĂ”,2779625,Păpălă Victor - Daniel*,Membru CA/CS,"13,350",,13350.0,0.0
20,MINISTERUL FINANTELOR,COMPANIA NAȚIONALĂ ”IMPRIMERIA NAȚIONALĂ”,2779625,Preoteasa Claudiu - Tudorel,Membru CA/CS,"13,350",,13350.0,0.0
20,MINISTERUL FINANTELOR,COMPANIA NAȚIONALĂ ”IMPRIMERIA NAȚIONALĂ”,2779625,Balazs - Leszai Orsolya,Membru CA/CS,"13,350",,13350.0,0.0
20,MINISTERUL FINANTELOR,COMPANIA NAȚIONALĂ ”IMPRIMERIA NAȚIONALĂ”,2779625,Sorin Toader,Director/directorat,"40,946",,40946.0,0.0
20,MINISTERUL FINANTELOR,COMPANIA NAȚIONALĂ ”IMPRIMERIA NAȚIONALĂ”,2779625,Nicolae Tudor,Director/directorat,"39,446",,39446.0,0.0
21,MINISTERUL FINANTELOR,FONDUL NAȚIONAL DE GARANTARE A CREDITELOR PENTRU INTREPRINDERILE MICI ȘI MIJLOCII,14367083,7 Poziții Vacante În Ca,Membru CA/CS,"12,946",,12946.0,0.0
21,MINISTERUL FINANTELOR,FONDUL NAȚIONAL DE GARANTARE A CREDITELOR PENTRU INTREPRINDERILE MICI ȘI MIJLOCII,14367083,Vacant,Membru CA/CS,"19,246",,19246.0,0.0
21,MINISTERUL FINANTELOR,FONDUL NAȚIONAL DE GARANTARE A CREDITELOR PENTRU INTREPRINDERILE MICI ȘI MIJLOCII,14367083,Cătălin Leonte,Director/directorat,"45,968",,45968.0,0.0
21,MINISTERUL FINANTELOR,FONDUL NAȚIONAL DE GARANTARE A CREDITELOR PENTRU INTREPRINDERILE MICI ȘI MIJLOCII,14367083,Daniel-Ionuț Stavre,Director/directorat,"33,199",,33199.0,0.0
,MINISTERUL FINANTELOR,FONDUL NAȚIONAL DE GARANTARE A CREDITELOR PENTRU INTREPRINDERILE MICI ȘI MIJLOCII,14367083,Cosmin-Silviu Baiu,Director/directorat,"21,800",,21800.0,0.0
22,MINISTERUL FINANTELOR,FONDUL ROMÂN DE CONTRAGARANTARE,26308846,Crăciun Rada Cosmina,Membru CA/CS,"12,600",,12600.0,0.0
22,MINISTERUL FINANTELOR,FONDUL ROMÂN DE CONTRAGARANTARE,26308846,Stănică Nicolae Cristian,Membru CA/CS,"18,900",,18900.0,0.0
22,MINISTERUL FINANTELOR,FONDUL ROMÂN DE CONTRAGARANTARE,26308846,Gurguiatu Elena,Membru CA/CS,"12,600",,12600.0,0.0
22,MINISTERUL FINANTELOR,FONDUL ROMÂN DE CONTRAGARANTARE,26308846,Simion Roxana Andreea,Membru CA/CS,"12,600",,12600.0,0.0
22,MINISTERUL FINANTELOR,FONDUL ROMÂN DE CONTRAGARANTARE,26308846,Vacant,Membru CA/CS,"12,600",,12600.0,0.0
